station_name,external_station_code,name,site_type,latitude,longitude,coordinate_source,coordinate_uncertainty_m,notes
Boyd Dom,NDEP_Boyd_Dom,Boyd Domestic Well,well,39.37371,-119.7453,nbmg_geothermal_wells,100,"Matched to NBMG Geothermal_Wells 'Boyd Domestic Well' by exact name (ArcGIS Open Data, data-nbmg.opendata.arcgis.com/datasets/72341ba987e34c12a575c83f1d7c5367_0); no location_uncertainty_statement provided by NBMG, 100 m is a documented conservative default."
Jeppson Dom,NDEP_Jeppson_Dom,Jeppson Geothermal Well,well,39.35931,-119.7685,nbmg_geothermal_wells,100,"Matched to NBMG Geothermal_Wells 'Jeppson Geothermal Well' by exact name; same source/uncertainty note as Boyd Dom."
Rogers Well,NDEP_Rogers_Well,Rogers Domestic Well,well,39.36248,-119.7646,nbmg_geothermal_wells,100,"Matched to NBMG Geothermal_Wells 'Rogers Domestic Well' by exact name; same source/uncertainty note as Boyd Dom."
Soccer Field,NDEP_Soccer_Field,Soccer Field Monitoring Well,well,39.40187,-119.7594,nbmg_geothermal_wells,100,"Matched to NBMG Geothermal_Wells 'Soccer Field Monitoring Well' by exact name. Supersedes an earlier rough estimate (39.3875,-119.7412) that was ~2 km off; NBMG exact-name match preferred per user confirmation 2026-09-05."
Herz Deep,,,,,,,,"STILL UNRESOLVED as of 2026-09-05 (session 2): the *domestic* Herz well was separately resolved via NDWR WellLogQuery to 39.405472,-119.753255 (see data/raw/ndwr/klein2007_monitor_well_locations.csv, code KLEIN_Herz_Dom) -- but that is the NDEP permit table's distinct 'Herz Domestic' monitoring point, NOT this one. 'Herz (Deep) (2007)' per the NDEP permit table is presumably a well drilled around 2007 (Klein et al. 2007 explicitly describes Ormat/NDEP planning new monitor wells that year), which postdates the NBMG well-log compilation (2019) and every NDWR search tried, so it plausibly just isn't in any digitized source checked. Do not substitute the domestic well's coordinate here -- leave unresolved until a specific 2007-era well record or direct correspondence with Ormat/NDEP is found."
Eich Well,NDEP_Eich_Well,Eich Well,well,39.409083,-119.744088,ndwr_welllogquery,50,"RESOLVED 2026-09-05 (session 2) via NDWR WellLogQuery, owner search 'EICH': single exact match 'EICH, PAUL', Basin 087, T18N R20E Sec 21 SW, log 10437, completed 1969-01-25, depth 100 ft. Preferred over several superficially similar surnames in the same result set (Heidenreich, Eichelberger, Eichmann, Reichman, Reichlin, Meich) because this is the only literal 'Eich' owner in the area, and it sits ~403m from the separately-resolved DeMonte well and ~885m from Herz Domestic -- consistent with Klein et al. (2007) Figure 1's tight NDOT/Curti/Herz/DiMonte/Eich monitor-well cluster just N of the geothermal field. Minor caveat, not fully resolved: this log's total depth (100 ft) doesn't exactly match the NDEP permit table's description 'Eich (Shallow, 45 ft.)' -- plausibly a difference between total drilled depth and a specific sampling/perforation depth used for monitoring, rather than a wrong-well match."
NDOT,,,,,,,,"STILL UNRESOLVED as of 2026-09-05 (session 2): searched NDWR WellLogQuery by owner name 'NDOT' -- got 24 statewide hits, but none plausibly close to the Klein et al. (2007) monitor-well cluster (~39.39-39.41N, -119.74 to -119.75W). The two Basin-087 candidates found were a 7-log cluster at T19N R19E Sec36 (39.4716,-119.7899, ~7-8km N of the cluster) and a single 'NDOT RIGHT OF WAY' log at T17N R20E Sec23 (39.317972,-119.707695, ~6-7km S/E) -- both rejected as too far away. Klein's map places NDOT immediately beside Curti/Herz/Soccer Field, so the true well is either logged under a different owner name (e.g. the actual maintenance-station name, or 'State of Nevada'/'Department of Transportation' rather than the abbreviation 'NDOT'), or simply isn't captured by an owner-name search at all. Left unlocated -- a spatial (GIS/map-based) NDWR search of the cluster area, rather than further owner-name guesses, is the more promising next step."
SB2 Outlet,,,,,,,,"UNRESOLVED: likely an Ormat internal creek/outlet monitoring point, not a registered well. Left unlocated."
SB3 Outlet,,,,,,,,"UNRESOLVED: likely an Ormat internal creek/outlet monitoring point, not a registered well. Left unlocated."
Galena 1 Outlet,,,,,,,,"UNRESOLVED: likely an Ormat internal creek/outlet monitoring point, not a registered well. Left unlocated."
Galena 2 Outlet,,,,,,,,"UNRESOLVED: likely an Ormat internal creek/outlet monitoring point, not a registered well. Left unlocated."
Galena 3 Outlet,,,,,,,,"UNRESOLVED: likely an Ormat internal creek/outlet monitoring point, not a registered well. Left unlocated."
SBHR Outlet,,,,,,,,"UNRESOLVED: likely an Ormat internal creek/outlet monitoring point, not a registered well. Left unlocated."
