well_name,latitude,longitude,apino,coordinate_source,coordinate_uncertainty_m,notes
23-5,39.3700873,-119.7668318,27-031-90234,nbmg_geothermal_wells,50,"NBMG name '23-5', operator Ormat, status In Use. Single unambiguous match. Source: https://data-nbmg.opendata.arcgis.com/datasets/72341ba987e34c12a575c83f1d7c5367_0"
34-32,39.38046,-119.75974,,nbmg_geothermal_wells,100,"NBMG name 'Industrial Production Well 34-32', operator Steamboat Hills, LLC. No apino/status given in NBMG record; still an unambiguous name match. Source: https://data-nbmg.opendata.arcgis.com/datasets/72341ba987e34c12a575c83f1d7c5367_0"
44-32,39.3826722,-119.7630336,27-031-90232,nbmg_geothermal_wells,50,"NBMG name 'Industrial Production Well No. 44-32', operator Steamboat Hills, LLC, status In Use. Distinct well from 34-32 (~370 m apart). Source: https://data-nbmg.opendata.arcgis.com/datasets/72341ba987e34c12a575c83f1d7c5367_0"
14A-33,39.3849895,-119.7450731,27-031-90244,nbmg_geothermal_wells,50,"NBMG name 'Industrial Production Well 14A-33', operator Ormat, status Idle. Source: https://data-nbmg.opendata.arcgis.com/datasets/72341ba987e34c12a575c83f1d7c5367_0"
44A-32,39.382543,-119.7616471,27-031-90243,nbmg_geothermal_wells,50,"NBMG name 'Industrial Production Well 44A-32', operator Ormat, status Idle. Source: https://data-nbmg.opendata.arcgis.com/datasets/72341ba987e34c12a575c83f1d7c5367_0"
24-5,39.3730878,-119.7645127,27-031-90095,nbmg_geothermal_wells,50,"NBMG name 'Well No. 24-5', operator Steamboat Hills, LLC. Independently corroborated by the 2025/2026 NDEP TFT Compliance Reports, which show this well under active periodic tracer-flow testing as a production well. Source: https://data-nbmg.opendata.arcgis.com/datasets/72341ba987e34c12a575c83f1d7c5367_0"
43-33,39.3839177,-119.7442997,27-031-90245,nbmg_geothermal_wells,50,"NBMG name 'Industrial Production Well 43-33', operator Ormat, status Idle. Source: https://data-nbmg.opendata.arcgis.com/datasets/72341ba987e34c12a575c83f1d7c5367_0"
41-5,39.37526,-119.7648,27-031-90273,nbmg_geothermal_wells,50,"NBMG name 'Industrial Production Well 41-5', operator Steamboat Hills, LLC, status Idle. Source: https://data-nbmg.opendata.arcgis.com/datasets/72341ba987e34c12a575c83f1d7c5367_0"
42A-32,39.38726,-119.764,27-031-90305,nbmg_geothermal_wells,50,"NBMG name '42A-32', operator Ormat, status In Use. Source: https://data-nbmg.opendata.arcgis.com/datasets/72341ba987e34c12a575c83f1d7c5367_0"
21-32,39.3899274,-119.7685792,27-031-90285,nbmg_geothermal_wells,50,"NBMG name 'Injection Well 21-32', operator Ormat, status In Use -- NBMG's own function_ field independently confirms injection role, consistent with dhakal_well_network.csv's well_role. Source: https://data-nbmg.opendata.arcgis.com/datasets/72341ba987e34c12a575c83f1d7c5367_0"
