well_name,latitude,longitude,coordinate_source,coordinate_uncertainty_m,notes
IW-1,39.39640,-119.74450,arcgis_satellite_overlay,50,"Digitized by user in ArcGIS by overlaying the Dhakal figure on satellite imagery (Steamboat_wells_dhakal.shp). Cross-validated against the independent NBMG-sourced coordinate for canonical name 45-28: 44 m apart -- good agreement, but this well already has a coordinate from the higher-confidence NBMG match, so this row is a no-op under register_well_coordinates.R's never-overwrite rule. Kept for the cross-validation record."
IW-4,39.39621,-119.74590,arcgis_satellite_overlay,50,"Same digitization as IW-1. Cross-validated against the independent NBMG-sourced coordinate for canonical name 35-28: 40 m apart -- good agreement. No-op (35-28 already has an NBMG coordinate)."
IW-5,39.39482,-119.74540,arcgis_satellite_overlay,50,"Same digitization. This is the FIRST successful coordinate for canonical name 46-28 (the earlier NBMG candidate '46-28-2' never actually applied -- it didn't match any Wells.well_name, since the canonical row is named '46-28' with no suffix). Given IW-1/IW-4's ~40-44 m cross-validation agreement above, this is treated as a reasonably confident direct fix, tighter than the previously-flagged NBMG '46-28-2' guess (150 m uncertainty, ~730-840 m from 45-28/35-28)."
IW-6,39.39359,-119.74660,arcgis_satellite_overlay,50,"New coordinate for the previously coordinate-less IW-6 (well_role already 'injection' from Dhakal Figure 1). Which Sampling_Ports point feeds this well is still not determined by this data -- port_name intentionally left blank in dhakal_well_network.csv."
PW 2-3,39.39506,-119.74940,arcgis_satellite_overlay,50,"New well -- name pattern ('PW 2-x') read directly off the Dhakal Figure 5 / satellite overlay, distinct from the earlier, less-certain 'PW-1/2/3' entries (see dhakal_well_network.csv notes for those -- likely superseded/mislabeled, flagged for user review, not deleted here)."
PW 2-5,39.39595,-119.74840,arcgis_satellite_overlay,50,"New well, same 'PW 2-x' family as PW 2-3."
PW 3-1,39.39081,-119.74730,arcgis_satellite_overlay,50,"New well -- 'PW 3-x' family, read directly off the Dhakal Figure 5 / satellite overlay."
PW 3-2,39.39181,-119.74690,arcgis_satellite_overlay,50,"New well, same 'PW 3-x' family as PW 3-1."
PW 3-3,39.39103,-119.74580,arcgis_satellite_overlay,50,"New well, same 'PW 3-x' family as PW 3-1."
PW 3-4,39.39255,-119.74620,arcgis_satellite_overlay,50,"New well, same 'PW 3-x' family as PW 3-1."
OW-2,39.39357,-119.74940,arcgis_satellite_overlay,50,"New well -- 'OW' prefix read as Observation Well; well_role set to 'monitor' in dhakal_well_network.csv on that basis, not independently confirmed."
2-1,39.39392,-119.75070,arcgis_satellite_overlay,75,"New well -- name has no PW/IW/OW prefix, so well_role is NOT guessed (left blank in dhakal_well_network.csv). Flagged for user confirmation of what this well actually is."
