"location_id","name","external_station_code","site_type","latitude","longitude"
1,"Steamboat Creek — downstream conductivity logger (SBGG)","SBGG","creek",39.40584,-119.74213
2,"Thomas Creek @ North Timberline Drive &[STBT03Thomas-3]","SB10","background",39.391781,-119.838097
3,"North Fork Whites Creek @ West Zolezzi Lane","SB20","background",39.41869,-119.765999
4,"Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2]","SB3","background",39.345661,-119.778
5,"Middle Fork Whites Creek @ Sage Hill Road","SB33","background",39.41864,-119.741501
6,"Steamboat Creek @ Old Post Office &[STBT02Stbt-3]","SB40","background",39.387421,-119.739304
7,"North Fork Whites Creek @ Arrow Creek Parkway","SB42","background",39.404171,-119.780403
8,"South Fork Whites Creek @ Old Virginia Road","SB44","background",39.408371,-119.7482
9,"Steamboat Creek @ So. Meadows Pkwy","SB46","background",39.450427,-119.723421
10,"Steamboat Creek @ Rhodes Road","SB5","background",39.377171,-119.743797
11,"Steamboat Ditch @ Rhodes Road","SB6","background",39.377468,-119.743797
12,"Steamboat Creek @ Geiger Grade","SB7","background",39.402222,-119.743599
13,"Whites Creek @ North Timberline Drive","SB8","background",39.384689,-119.837799
14,"Steamboat Creek north of the USGS gage off of Rhodes Road","STBT02Steamboat-2a","background",39.37817,-119.7431
15,"Thomas Creek above Arrowhead Parkway &[TC111]","STBT03Thomas-4","background",39.405998,-119.804001
16,"Whites Creek above Thomas Creek Road &[WC-11]","STBT03Whites-2","background",39.39434,-119.792396
17,"SBO_00001","SBO_00001","seep",39.380078,-119.739875
18,"SBO_00002","SBO_00002","spring",39.380192,-119.739914
19,"SBO_00003","SBO_00003","seep",39.380108,-119.739656
20,"SBO_00004","SBO_00004","seep",39.380261,-119.739769
21,"SBO_00005","SBO_00005","spring",39.380256,-119.739869
22,"SBO_00006","SBO_00006","spring",39.380394,-119.739808
23,"SBO_00007","SBO_00007","seep",39.381486,-119.739442
24,"SBO_00008","SBO_00008","seep",39.380669,-119.739464
25,"SBO_00009","SBO_00009","seep",39.38115,-119.738983
26,"SBO_00010","SBO_00010","spring",39.381969,-119.739494
27,"SBO_00011","SBO_00011","spring",39.381997,-119.739539
28,"SBO_00012","SBO_00012","seep",39.382278,-119.739508
29,"SBO_00013","SBO_00013","seep",39.383525,-119.739036
30,"SBO_00014","SBO_00014","seep",39.384056,-119.738769
31,"SBO_00015","SBO_00015","seep",39.383389,-119.739625
32,"SBO_00016","SBO_00016","seep",39.384833,-119.739708
33,"SBO_00017","SBO_00017","seep",39.384967,-119.739533
34,"SBO_00018","SBO_00018","seep",39.384986,-119.739525
35,"SBO_00019","SBO_00019","seep",39.385036,-119.739853
36,"SBO_00020","SBO_00020","seep",39.385242,-119.739608
37,"SBO_00021","SBO_00021","seep",39.38575,-119.739831
38,"SBO_00022","SBO_00022","seep",39.386822,-119.740075
39,"SBO_00023","SBO_00023","seep",39.386756,-119.739769
40,"SBO_00024","SBO_00024","steaming ground",39.388825,-119.73935
41,"SBO_00025","SBO_00025","steaming ground",39.389408,-119.740258
42,"SBO_00026","SBO_00026","steaming ground",39.389408,-119.740258
43,"SBO_00027","SBO_00027","steaming ground",39.389428,-119.740294
44,"SBO_00028","SBO_00028","steaming ground",39.389481,-119.740272
45,"SBO_00029","SBO_00029","creek",39.389881,-119.739936
46,"SBO_00030","SBO_00030","spring",39.390225,-119.740119
47,"SBO_00031","SBO_00031","spring",39.390194,-119.740128
48,"SBO_00032","SBO_00032","seep",39.390281,-119.740097
49,"SBO_00033","SBO_00033","seep",39.390369,-119.740036
50,"SBO_00034","SBO_00034","seep",39.390361,-119.740036
51,"SBO_00035","SBO_00035","steaming ground",39.390561,-119.739753
52,"SBO_00036","SBO_00036","steaming ground",39.390561,-119.739747
53,"SBO_00037","SBO_00037","steaming ground",39.390953,-119.739472
54,"SBO_00038","SBO_00038","steaming ground",39.390964,-119.739425
55,"SBO_00039","SBO_00039","creek",39.394997,-119.739486
56,"SBO_00040","SBO_00040","creek",39.397025,-119.742036
57,"SBO_00041","SBO_00041","steaming ground",39.397061,-119.742028
58,"SBO_00042","SBO_00042","steaming ground",39.397067,-119.742028
59,"SBO_00043","SBO_00043","seep",39.397094,-119.742028
60,"SBO_00044","SBO_00044","seep",39.397172,-119.742089
61,"SBO_00045","SBO_00045","seep",39.397225,-119.742081
62,"SBO_00046","SBO_00046","seep",39.397369,-119.742128
63,"SBO_00047","SBO_00047","seep",39.397397,-119.742128
64,"SBO_00048","SBO_00048","steaming ground",39.397656,-119.742203
65,"SBO_00049","SBO_00049","seep",39.397839,-119.742753
66,"SBO_00050","SBO_00050","seep",39.397842,-119.742797
67,"SBO_00051","SBO_00051","steaming ground",39.398347,-119.742919
68,"SBF_0001","SBF_0001","fumarole",39.382406,-119.739853
69,"SBS_0001","SBS_0001","spring",39.380142,-119.739931
70,"SBS_0002","SBS_0002","seep",39.381656,-119.739447
71,"SBW_0001","SBW_0001","well",39.380628,-119.738839
72,"SBS_0003","SBS_0003","spring",39.390219,-119.740111
73,"SBS_0004","SBS_0004","seep",39.397178,-119.742097
74,"SBS_0005","SBS_0005","seep",39.397367,-119.742128
75,"SBS_0006","SBS_0006","spring",39.380242,-119.739906
76,"SBW_0002","SBW_0002","well",39.379653,-119.741692
77,"SBBV","SBBV","transect",39.466278,-119.728919
78,"SBRR","SBRR","transect",39.377133,-119.743658
79,"PAGNI LANE","NDWR_088N17E2018BABA1","well",39.34624,-119.7831
80,"MONTREAUX RANCH","NDWR_088N17E2007ADCA1","well",39.35506,-119.77406
81,"GALENA CREEK PARK","NDWR_088N17E1909BABC1","well",39.35955,-119.85889
82,"SKY TAVERN SKI RESORT","NDWR_088N17E1917CAAA1","well",39.33813,-119.8736
83,"Shonnard","NDWR_088N17E1902CACD1","well",39.364597,-119.819923
84,"St. James MW1","NDWR_088N17E1914AAAA2","well",39.346027,-119.807974
85,"St. James MW2","NDWR_088N17E1914ABBA2","well",39.345925,-119.815633
86,"St. James MW3","NDWR_088N17E1914BBCB2","well",39.343791,-119.826154
87,"St. James MW4","NDWR_088N17E1910DCAD2","well",39.348158,-119.831604
88,"Tessa East","NDWR_088N18E1935CACD2","well",39.38112,-119.820081
89,"Tessa West","NDWR_088N18E1935CBCC2","well",39.37888,-119.825034
90,"Mt. Rose 3","NDWR_088N17E1902DABD1","well",39.366406,-119.810357
91,"Mt. Rose 6","NDWR_088N17E1903DBCD1","well",39.364953,-119.833582
92,"Timberline MW","NDWR_088N18E1934CADD1","well",39.378909,-119.836044
93,"Sunrise Estates 3","NDWR_088N17E2007CCAB1","well",39.34936,-119.786778
94,"Reno High MWD","NDWR_087N19E1915AABC2","well",39.5189,-119.82987
95,"Reno High MWS","NDWR_087N19E1915AABC3","well",39.518898,-119.82989
96,"View MWD","NDWR_087N19E2006DCDB2","well",39.536026,-119.77773
97,"View MWS","NDWR_087N19E2006DCDB3","well",39.536044,-119.777745
98,"Virginia MWD","NDWR_087N18E2006BAAA2","well",39.461878,-119.7808
99,"Arrow Creek 4S","NDWR_087N18E1922DAAD2","well",39.409606,-119.827413
100,"Double Diamond 5","NDWR_087N18E2017ABBA1","well",39.432544,-119.75973
101,"Longley Lane Well","NDWR_087N18E2006AACC1","well",39.458283,-119.774102
102,"Longley Lane MW","NDWR_087N18E2006AACC2","well",39.458329,-119.774076
103,"S. Virginia Street Well","NDWR_087N18E2006BAAA1","well",39.461812,-119.780849
104,"Patriot Well","NDWR_087N18E2006CAAD1","well",39.454094,-119.780729
105,"Holcomb Lane Well","NDWR_087N18E2007ACBA1","well",39.443586,-119.779433
106,"Holcomb Lane MW","NDWR_087N18E2007ACBA2","well",39.443508,-119.779378
107,"4th Street Well","NDWR_087N19E1912AAAA1","well",39.534095,-119.790128
108,"4th Street Deep MW","NDWR_087N19E1912AAAA2","well",39.533972,-119.790084
109,"4th Street Shallow MW","NDWR_087N19E1912AAAA3","well",39.533953,-119.790096
110,"Reno High Well","NDWR_087N19E1915AABC1","well",39.518871,-119.830014
111,"Glenn Hare Well","NDWR_087N19E1915ABCB1","well",39.517257,-119.835432
112,"Glenn Hare MW","NDWR_087N19E1915ABCB2","well",39.517321,-119.835349
113,"Hunter Lake Well","NDWR_087N19E1915CAAA1","well",39.512257,-119.83598
114,"Hunter Lake MW","NDWR_087N19E1915CAAA2","well",39.512292,-119.836055
115,"Swope Well","NDWR_087N19E1916DABA1","well",39.511893,-119.848574
116,"Lakeside Drive Well","NDWR_087N19E1935ADDD1","well",39.470573,-119.808118
117,"Bartley Ranch","NDWR_087N19E1936CBBA1","well",39.468835,-119.805967
118,"El Rancho Drive Well","NDWR_087N19E2006DABB1","well",39.54189,-119.775814
119,"El Rancho Deep MW","NDWR_087N19E2006DABB2","well",39.541957,-119.775678
120,"El Rancho Shallow MW","NDWR_087N19E2006DABB3","well",39.541964,-119.775697
121,"View Street Well","NDWR_087N19E2006DCDB1","well",39.535923,-119.777743
122,"21st Street Deep MW","NDWR_087N19E2007DADA2","well",39.525326,-119.772092
123,"21st Street Shallow MW","NDWR_087N19E2007DADA3","well",39.525326,-119.772124
124,"21st Street Well","NDWR_087N19E2007DADB1","well",39.525263,-119.771838
125,"Galletti Way Well","NDWR_087N19E2007DBAA1","well",39.526487,-119.776066
126,"Galletti Way MW","NDWR_087N19E2007DBAD2","well",39.526436,-119.775968
127,"Sparks Avenue Well","NDWR_087N19E2008BAAD1","well",39.533247,-119.762142
128,"CTM67","NDWR_087N19E2008BAAD2","well",39.533355,-119.762679
129,"CTM68","NDWR_087N19E2008BAAD3","well",39.533372,-119.762633
130,"Poplar #1 Well","NDWR_087N19E2008BDDB1","well",39.528769,-119.763432
131,"Poplar #2 Well","NDWR_087N19E2008BDDB2","well",39.528619,-119.763531
132,"CTM 74","NDWR_087N19E2008BDDB3","well",39.528895,-119.763482
133,"CTM 75","NDWR_087N19E2008BDDB4","well",39.528906,-119.76348
134,"Poplar #1 MW","NDWR_087N19E2008BDDB5","well",39.528872,-119.763549
135,"Greg Street Well","NDWR_087N19E2008DDBC1","well",39.522542,-119.75695
136,"Greg Street Deep MW","NDWR_087N19E2008DDBC2","well",39.522329,-119.75694
137,"Pezzi Well","NDWR_087N19E2017ADCB1","well",39.514472,-119.756592
138,"Terminal Way Well","NDWR_087N19E2018DBDB1","well",39.51107,-119.778151
139,"Peckham Lane Well","NDWR_087N19E2030DACA1","well",39.481834,-119.773959
140,"USGSPeckham","NDWR_087N19E2030DACA2","well",39.482166,-119.773954
141,"Delucchi Lane Well","NDWR_087N19E2031CABB1","well",39.469284,-119.784196
142,"Sierra Plaza MW","NDWR_087N19E2031DBDD1","well",39.466681,-119.775726
143,"Sierra Plaza Well","NDWR_087N19E2031DABC1","well",39.466781,-119.775681
144,"8055 S. Virigina Street MW","NDWR_087N18E2006DBBA1","well",39.454201,-119.779105
145,"Picollo MW","NDWR_087N18E2018ABAD1","well",39.431335,-119.776051
146,"Tessa East MWA","NDWR_087N18E1935CAAB1","well",39.381801,-119.818835
147,"STMGID MW1","NDWR_087N18E2019AAAB1","well",39.418527,-119.773506
148,"STMGID MW10","NDWR_087N18E1925DBBD1","well",39.395714,-119.796467
149,"STMGID 11 MWA","NDWR_087N18E2019BABA1","well",39.418533,-119.783454
150,"STMGID MW3","NDWR_087N18E2019DDAA1","well",39.407588,-119.771611
151,"Boyd Domestic Well","NDEP_Boyd_Dom","well",39.38325,-119.73992
152,"Jeppson Geothermal Well","NDEP_Jeppson_Dom","well",39.35931,-119.7685
153,"Rogers Domestic Well","NDEP_Rogers_Well","well",39.36248,-119.7646
154,"Soccer Field Monitoring Well","NDEP_Soccer_Field","well",39.40187,-119.7594
155,"Eich Well","NDEP_Eich_Well","well",39.409083,-119.744088
156,"Herz Domestic Well","KLEIN_Herz_Dom","well",39.405472,-119.753255
157,"DiMonte Well","KLEIN_DeMonte","well",39.412694,-119.744366
158,"Zolezzi Well (near Zolezzi Spr)","KLEIN_Zolezzi_Well","well",39.416306,-119.762423
159,"Curti Domestic Well","KLEIN_Curti_Dom","well",39.394361,-119.7396
160,"Curti Barn Well (geothermal)","KLEIN_Curti_Barn","well",39.394361,-119.7396
