"port_id","port_name","injection_well_id","injection_well_name","valid_from","valid_to","source","notes"
1,"Galena 1",74,"45-28",NA,NA,"Dhakal et al. (2025) Figure 5","Fed by the COMBINED Galena 1 + SB2/3 output (1556 kg/s, 73.7 C total = 615 + 941 kg/s -- mass balance checks out exactly). Two rows (this one and the SB2/3 row below) represent the same combined feed, not two independent 100% flows."
4,"SB2/3",74,"45-28",NA,NA,"Dhakal et al. (2025) Figure 5","See Galena 1 row note -- same combined Galena 1 + SB2/3 feed."
1,"Galena 1",75,"35-28",NA,NA,"Dhakal et al. (2025) Figure 5","Same combined Galena 1 + SB2/3 feed as IW-1."
4,"SB2/3",75,"35-28",NA,NA,"Dhakal et al. (2025) Figure 5","Same combined Galena 1 + SB2/3 feed as IW-1."
1,"Galena 1",76,"46-28",NA,NA,"Dhakal et al. (2025) Figure 5","Same combined Galena 1 + SB2/3 feed as IW-1."
4,"SB2/3",76,"46-28",NA,NA,"Dhakal et al. (2025) Figure 5","Same combined Galena 1 + SB2/3 feed as IW-1."
1,"Galena 1",101,"IW-6",NA,NA,"Dhakal et al. (2025) Figure 5","Same combined Galena 1 + SB2/3 feed as IW-1."
4,"SB2/3",101,"IW-6",NA,NA,"Dhakal et al. (2025) Figure 5","Same combined Galena 1 + SB2/3 feed as IW-1."
3,"Galena 3",104,"23-33RD",NA,NA,"Dhakal et al. (2025) Figure 5","Fed by Galena 3 (454 kg/s, 76.9 C, paired with 43-33). NBMG's coordinate match was for a well named exactly ""23-33"" (no RD suffix) -- Figure 5's own well-name spelling (""23-33RD"") is used here as the network entry, on the working assumption ""RD"" = redrill of the same physical well NBMG has as ""23-33""; not independently confirmed, flagged in dhakal_well_coordinates.csv."
3,"Galena 3",105,"43-33",NA,NA,"Dhakal et al. (2025) Figure 5","Fed by Galena 3, paired with 23-33RD (454 kg/s combined, 76.9 C)."
5,"SBHR",106,"42A-32",NA,NA,"Dhakal et al. (2025) Figure 5","Fed by SBHR (794 kg/s, 70.8 C, paired with 21-32)."
3,"Galena 3",106,"42A-32",NA,NA,"Dhakal et al. (2025) Figure 5; confirmed by user (2026-09-05)","Middle Steamboat (Galena 3) and Upper Steamboat (SBHR) share this injection pair -- confirmed by user: the vertical connector in Figure 5 is real, not a rendering artifact. Galena 3 feeds BOTH {23-33RD, 43-33} and {42A-32, 21-32}; Lower Steamboat (Galena 1 / SB2/3), by contrast, stays separate between its own two ports and does not connect to Middle/Upper injectors."
5,"SBHR",107,"21-32",NA,NA,"Dhakal et al. (2025) Figure 5","Fed by SBHR, paired with 42A-32."
3,"Galena 3",107,"21-32",NA,NA,"Dhakal et al. (2025) Figure 5; confirmed by user (2026-09-05)","Shares Galena 3 feed with 42A-32 -- see that rows note."
2,"Galena 2",108,"64A-32",NA,NA,"Dhakal et al. (2025) Figure 5","Fed by Galena 2 (136 kg/s, 80.7 C) -- a separate arrow from Galena 2's other output that joins SBHR's combined 794 kg/s/42A-32/21-32 line. Galena 2's own total production (205 kg/s) does not need to reconcile neatly against either downstream number since they are different metering points on the same diagram."
