"production_well_id","production_well_name","port_id","port_name","valid_from","valid_to","source","notes"
77,"78-29",1,"Galena 1",NA,NA,"Dhakal et al. (2025) Figure 5 (""Steamboat geothermal complex configuration with average flow rates and temperatures in 2024"")","Lower Steamboat group. Galena 1 total: 615 kg/s, 123.7 C. Coordinate: NBMG Geothermal_Wells match (see dhakal_well_coordinates.csv)."
78,"HA-4",1,"Galena 1",NA,NA,"Dhakal et al. (2025) Figure 5","Lower Steamboat / Galena 1 group. Coordinate: NBMG Geothermal_Wells match (low confidence -- see dhakal_well_coordinates.csv note on shared/generic coordinates)."
79,"PW-1",1,"Galena 1",NA,NA,"Dhakal et al. (2025) Figure 5; also Table 1 (Lower Steamboat production well classification)","Confirmed by user (2026-09-05) to be a genuinely DIFFERENT, separately-located well from PW 2-x/PW 3-x below -- not a naming variant. Still no coordinate resolved for PW-1 itself."
80,"PW-2",1,"Galena 1",NA,NA,"Dhakal et al. (2025) Figure 5; also Table 1","Confirmed distinct from PW 2-x/PW 3-x, same basis as PW-1. Still no coordinate resolved."
81,"PW-3",1,"Galena 1",NA,NA,"Dhakal et al. (2025) Figure 5; also Table 1","Confirmed distinct from PW 2-x/PW 3-x, same basis as PW-1. Still no coordinate resolved."
82,"PW 2-1",4,"SB2/3",NA,NA,"Dhakal et al. (2025) Figure 5 and Table 1 (printed there as ""PW2-1"", no space)","Lower Steamboat / SB2/3 group (941 kg/s, 120.4 C combined). NEW well identified from the literature only -- not in the ArcGIS-digitized wells layer (which had PW 2-3/2-5/3-1/2/3/4 but not this one) -- no coordinate yet. Spelled with a space here for consistency with the coordinate-bearing PW 2-x/PW 3-x wells already in this file; the paper itself omits the space."
83,"PW 2-3",4,"SB2/3",NA,NA,"Dhakal et al. (2025) Figure 5 and Table 1; coordinate from ArcGIS satellite-overlay digitization (data/raw/arcgis/Steamboat_wells_dhakal.shp)","Lower Steamboat / SB2/3 group. Port corrected 2026-09-05: Figure 5 shows PW2-x and PW3-x wells combining at a SINGLE port literally named ""SB2/3"" (matching the single combined polygon in Steamboat_power_plant_locations.shp) -- superseding the earlier guess that split this into separate ""SB2""/""SB3"" ports by name pattern alone."
84,"PW 2-5",4,"SB2/3",NA,NA,"Dhakal et al. (2025) Figure 5 and Table 1; coordinate from ArcGIS satellite-overlay digitization","Lower Steamboat / SB2/3 group. Same port correction as PW 2-3."
85,"PW 3-1",4,"SB2/3",NA,NA,"Dhakal et al. (2025) Figure 5 and Table 1; coordinate from ArcGIS satellite-overlay digitization","Lower Steamboat / SB2/3 group. Same port correction as PW 2-3."
86,"PW 3-2",4,"SB2/3",NA,NA,"Dhakal et al. (2025) Figure 5 and Table 1; coordinate from ArcGIS satellite-overlay digitization","Lower Steamboat / SB2/3 group. Same port correction as PW 2-3."
87,"PW 3-3",4,"SB2/3",NA,NA,"Dhakal et al. (2025) Figure 5 and Table 1; coordinate from ArcGIS satellite-overlay digitization","Lower Steamboat / SB2/3 group. Same port correction as PW 2-3."
88,"PW 3-4",4,"SB2/3",NA,NA,"Dhakal et al. (2025) Figure 5 and Table 1; coordinate from ArcGIS satellite-overlay digitization","Lower Steamboat / SB2/3 group. Same port correction as PW 2-3."
89,"14A-33",3,"Galena 3",NA,NA,"Dhakal et al. (2025) Figure 5","Middle Steamboat / Galena 3 group (586 kg/s total production; 454 kg/s reported downstream to injection -- see 23-33RD/43-33 notes on the ~132 kg/s unaccounted difference)."
90,"34-32",3,"Galena 3",NA,NA,"Dhakal et al. (2025) Figure 5","Middle Steamboat / Galena 3 group."
91,"44-32",3,"Galena 3",NA,NA,"Dhakal et al. (2025) Figure 5","Middle Steamboat / Galena 3 group."
92,"44A-32",3,"Galena 3",NA,NA,"Dhakal et al. (2025) Figure 5","Middle Steamboat / Galena 3 group."
93,"13-5R",5,"SBHR",NA,NA,"Dhakal et al. (2025) Figure 5 (printed as ""13-5RD"" in Table 1)","Upper Steamboat / SBHR group. Per user (2026-09-05), this is the *later* of two same-named historical wells (permit 0340, Production)."
94,"21-5R",5,"SBHR",NA,NA,"Dhakal et al. (2025) Figure 5","Upper Steamboat / SBHR group."
95,"21B-5R",5,"SBHR",NA,NA,"Dhakal et al. (2025) Figure 5","Upper Steamboat / SBHR group."
96,"23-5",5,"SBHR",NA,NA,"Dhakal et al. (2025) Figure 5","Upper Steamboat / SBHR group (593 kg/s, 154.3 C)."
97,"83B-6R",5,"SBHR",NA,NA,"Dhakal et al. (2025) Figure 5 (printed as ""83B-6RD"" in Table 1)","Upper Steamboat / SBHR group."
98,"83C-6ST1",5,"SBHR",NA,NA,"Dhakal et al. (2025) Figure 5 (printed as ""83C-6"" in Table 1)","Upper Steamboat / SBHR group."
99,"24-5",2,"Galena 2",NA,NA,"Dhakal et al. (2025) Figure 5","Upper Steamboat / Galena 2 group (205 kg/s, 150.3 C)."
100,"41-5",2,"Galena 2",NA,NA,"Dhakal et al. (2025) Figure 5","Upper Steamboat / Galena 2 group."
