"logger_id","logger_name","status","latitude","longitude","location_name"
1,"A001","active",39.380142,-119.739931,"SBS_0001"
2,"A002","active",39.381656,-119.739447,"SBS_0002"
3,"A003","active",39.380628,-119.738839,"SBW_0001"
4,"A004","active",39.390219,-119.740111,"SBS_0003"
5,"A005","active",39.382406,-119.739853,"SBF_0001"
6,"A006","destroyed",39.397178,-119.742097,"SBS_0004"
7,"A007","destroyed",39.397178,-119.742097,"SBS_0004"
8,"A009","active",39.379653,-119.741692,"SBW_0002"
9,"A010","active",39.380242,-119.739906,"SBS_0006"
11,"A012","active",39.377133,-119.743658,"SBRR"
