logger_name,manufacturer,model,serial_number,external_station_code,deployment_start,deployment_end,status,notes
A001,Elitech,LogEt 8 PTE,EMO259100051,SBS_0001,4/14/2026,,active,
A002,Elitech,LogEt 8 PTE,EMO259100057,SBS_0002,4/14/2026,,active,
A003,Elitech,LogEt 8 PTE,EMO259100059,SBW_0001,4/14/2026,,active,
A004,Elitech,LogEt 8 PTE,EMO259100056,SBS_0003,4/14/2026,,active,
A005,Elitech,LogEt 8 PTE,EMO259100060,SBF_0001,4/14/2026,,active,
A006,Elitech,LogEt 8 PTE,EMO259100053,SBS_0004,4/14/2026,5/21/2026,destroyed,
A007,Elitech,LogEt 8 PTE,EMO259100055,SBS_0005,4/14/2026,,active,
A008,Elitech,LogEt 8 PTE,EMO259100052,SBF_0001,4/29/2026,,active,
A009,Elitech,LogEt 8 PTE,EMO259100054,SBW_0002,4/29/2026,,active,
A010,Elitech,Tlog 10E,CMN232100066,SBS_0006,5/1/2026,,active,
A011,Elitech,LogEt 8 PTE,EMO259100044,,,,standby,
A012,Elitech,LogEt 8 PTE,EMO259100042,SBRR,5/21/2026,,active,
A013,Elitech,LogEt 8 PTE,EMO259100043,,,,standby,
