RE26169388 - Finalized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CLIENT : ""UNEVER - University of Nevada Reno""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of SAMPLES : 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE RECEIVED : 2026-05-11  DATE FINALIZED : 2026-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PROJECT : ""Geothermal""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CERTIFICATE COMMENTS : ""Sample 8 is insufficient to run TDS analysis and therefore the result will not be included in the report. """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PO NUMBER : "" """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WEI-21,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,ME-MS14L,MS14L-ANPH,MS14L-ANPH,MS14L-ANPH,MS14L-ANPH,MS14L-ANPH,MS14L-ANPH,MS14L-ANPH,MS14L-ANPH,MS14L-ANPH
SAMPLE,Recvd Wt.,Ag,Al,As,Au,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Pd,Pt,Rb,Re,S,Sb,Sc,Se,Si,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr,Br,Cl,F,NO3 (as N),SO4,pH,TDS,Conductivity,Alkalinity Total
DESCRIPTION,kg,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,mg/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,mg/L,ug/L,ug/L,ug/L,ug/L,mg/L,ug/L,ug/L,mg/L,ug/L,ug/L,mg/L,ug/L,ug/L,mg/L,ug/L,ug/L,ug/L,ug/L,ug/L,mg/L,ug/L,ug/L,ug/L,mg/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,mg/L,mg/L,mg/L,mg/L,mg/L,Unity,mg/L,uS/cm,mg/L CaCO3eq
SBRR,0.34,0.007,14,3.41,<0.002,11,42.1,0.006,<0.01,17.95,<0.005,0.035,0.037,<0.5,0.352,2.4,0.07,<0.05,<0.005,<0.05,<0.01,3.84,0.006,3.5,6.5,0.88,1.75,17,<0.005,0.7,0.053,0.11,<0.005,0.007,1.91,<0.002,1.7,0.86,<0.01,0.08,16.1,1.15,195.5,<0.01,0.02,0.006,0.7,0.009,2.63,4.09,0.73,0.03,7,0.06,<0.05,17.1,0.1,0.13,4,7.9,171,241,92
SBBV,0.29,0.025,8,313,<0.002,6940,59.6,0.006,<0.01,27.5,<0.005,0.022,0.094,<0.5,69.1,1.3,0.038,<0.05,<0.005,<0.05,<0.01,13.45,0.01,1070,11.1,4.02,3.4,127.5,<0.005,0.4,0.209,0.06,<0.005,<0.005,46.8,0.005,13.2,8.61,0.08,0.4,22.9,<0.05,393,<0.01,0.01,0.007,0.3,0.023,3.79,9.98,16.15,0.038,1,0.06,<0.3,126,0.43,0.051,35.4,8.3,486,877,209
SBF_0001,0.33,0.013,107,1600,0.005,36000,40.1,0.179,<0.01,3.01,<0.005,0.016,0.044,<0.5,>1000,0.1,0.007,1.37,<0.005,0.09,0.01,48.6,0.045,6450,0.108,1.78,2.97,656,<0.005,0.2,0.02,<0.05,<0.005,0.102,448,<0.002,58.5,4850,0.72,1.06,106.5,0.1,786,<0.01,0.04,0.044,0.9,1.47,0.079,0.9,112,0.019,1.1,<0.02,1.25,815,2.19,<0.1,132,8.3,2240,3380,245
SBW_0001,0.35,0.007,5,746,0.002,21200,108,0.096,0.05,25,0.096,<0.005,0.059,0.9,957,0.5,0.111,<0.05,<0.005,<0.05,<0.01,33.3,0.005,4510,4.71,7.13,1.36,404,0.005,<0.2,0.03,0.06,<0.005,0.007,306,<0.002,30.3,195.5,1,<0.05,70,<0.05,846,<0.01,0.01,0.343,0.3,0.073,1.65,40.4,26.7,0.015,4.7,<0.02,<1,473,0.94,0.67,75,8.2,1350,2220,278
SBW_0002,0.36,0.009,68,2240,0.003,37100,48,0.271,0.03,2.92,0.027,<0.005,0.023,0.5,>1000,0.5,0.007,1.1,<0.005,<0.05,0.01,55.5,0.008,7210,0.083,1.25,2.27,686,0.006,<0.2,0.02,<0.05,<0.005,<0.005,498,<0.002,59.4,1225,3.12,0.28,102,0.1,920,<0.01,0.01,0.188,0.5,3.41,0.035,1.03,107.5,0.013,6.1,<0.02,1.32,849,2.13,<0.1,158,9,2160,3560,264
SBS_0001,0.36,0.015,9,3620,<0.002,33300,50.8,0.258,0.01,20.4,0.007,0.01,0.294,<0.5,>1000,<0.1,0.316,<0.05,<0.005,<0.05,0.01,49.4,0.005,6400,1.975,163,0.66,559,<0.005,0.9,0.046,0.15,<0.005,<0.005,478,<0.002,68.2,26.8,3.74,0.17,90.7,<0.05,1140,<0.01,0.01,0.037,0.5,0.131,0.102,0.34,131.5,0.095,5.7,<0.02,<1,724,1.52,<0.1,187,7.7,1880,3070,160
SBS_0002,0.32,0.009,<3,4550,<0.002,29200,48.4,0.192,<0.01,14.7,<0.005,0.009,0.068,<0.5,>1000,<0.1,0.136,<0.05,<0.005,<0.05,<0.01,47.7,<0.005,5790,1.6,88.7,0.31,497,0.01,0.7,0.068,<0.05,<0.005,<0.005,456,<0.002,60.8,4.2,3.4,0.08,84.2,0.05,1260,<0.01,0.02,0.012,<0.2,0.038,0.255,1.06,65.6,0.051,7.6,<0.02,<1,635,1.26,<0.1,167,7.6,1740,2750,149
SBS_0003,0.16,0.011,111,4100,0.002,34800,17,0.046,<0.01,9.33,0.018,0.47,0.11,0.7,995,2.4,0.123,<0.05,<0.005,<0.05,0.01,54.9,0.28,6860,1.29,1.4,1.92,590,0.011,0.6,0.682,0.06,0.015,<0.005,465,<0.002,60.1,121,1.72,0.29,67.4,<0.05,551,<0.01,0.02,0.177,6.8,0.418,4.07,16.9,154.5,0.186,5.1,0.18,<1,697,2.51,<0.1,163,8.2,,3110,254
