"EVENTID","ORGANIZATION","WATERBODYCODE","WATERBODYNAME","STATIONCODE","STATIONNAME","SAMPLEDATETIME","SOURCESAMPLEID","BOTTOMDEPTH","COLLECTIONMETHOD","ACTIVITYTYPE","SAMPLEDEPTH","SAMPLECOMMENT","LABNAME","ACCESSIONNUM","RESULTSETCOMMENT","CHARACTERISTICNAME","CASNO","RESULTQUALIFIER","RESULTMEASURE","RESULTMEASUREUNIT","REPORTINGLIMIT","METHODDETECTLIMIT","ANALYTICALMETHOD","OUTSIDEDETECTIONLIMIT","RESULTCOMMENT",
00150728-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-10-21 12:25:00,150728,,Unknown,Field Data,0.000,,,,,DO mg/L,7782-44-7,,11.5,mg/L,,,,N,,
00150728-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-10-21 12:25:00,150728,,Unknown,Field Data,0.000,,,,,pH Field,12408-02-5,,8.1,None,,,,N,,
00150728-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-10-21 12:25:00,150728,,Unknown,Field Data,0.000,,,,,Temp Field,na,,6.5,deg C,,,,N,,
00150728-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-10-21 12:25:00,150728,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Ammonia N,7664-41-7,<,0.1,mg/L,,,,Y,,
00150728-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-10-21 12:25:00,150728,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,"Ammonia, Unionized",na,,0.000869,mg/L,,,,N,AUTOCALCULATE 2016-06-16 14:48:20 Using 1/2 AMNN,
00150728-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-10-21 12:25:00,150728,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,BOD,na,,1.16,mg/L,,,,N,,
00150728-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-10-21 12:25:00,150728,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Chloride,16887-00-6,,0,mg/L,,,,N,,
00150728-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-10-21 12:25:00,150728,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,CO3 as CaCO3,3812-32-6,,0,mg/L,,,,N,,
00150728-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-10-21 12:25:00,150728,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,CO3 as CO3,3812-32-6,,0,mg/L,,,,N,,
00150728-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-10-21 12:25:00,150728,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,HCO3 as CaCO3,71-52-3,,48,mg/L,,,,N,,
00150728-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-10-21 12:25:00,150728,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,HCO3 as HCO3,71-52-3,,59,mg/L,,,,N,,
00150728-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-10-21 12:25:00,150728,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Kjeldahl N,7727-37-9,,0.11,mg/L,,,,N,,
00150728-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-10-21 12:25:00,150728,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Nitrate N,14797-55-8,,0.03,mg/L,,,,N,,
00150728-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-10-21 12:25:00,150728,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Nitrate NO3,14797-55-8,,0.15,mg/L,,,,N,,
00150728-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-10-21 12:25:00,150728,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Ortho P,14265-44-2,,0.04,mg/L,,,,N,,
00150728-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-10-21 12:25:00,150728,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,pH Lab,12408-02-5,,8.02,None,,,,N,,
00150728-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-10-21 12:25:00,150728,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,SpC Lab,na,,102,uS/cm,,,,N,,
00150728-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-10-21 12:25:00,150728,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,TDS Lab,na,,89,mg/L,,,,N,,
00150728-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-10-21 12:25:00,150728,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Total Alkalinity as CaCO3,na,,48,mg/L,,,,N,,
00150728-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-10-21 12:25:00,150728,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Total P,7723-14-0,,0.05,mg/L,,,,N,,
00150728-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-10-21 12:25:00,150728,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,TSS,na,,4,mg/L,,,,N,,
00150728-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-10-21 12:25:00,150728,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Turbidity Lab,na,,1.5,NTU,,,,N,,
00150729-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-12-01 00:00:00,150729,,Unknown,Field Data,0.000,,,,,DO mg/L,7782-44-7,,11.1,mg/L,,,,N,,
00150729-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-12-01 00:00:00,150729,,Unknown,Field Data,0.000,,,,,pH Field,12408-02-5,,7.9,None,,,,N,,
00150729-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-12-01 00:00:00,150729,,Unknown,Field Data,0.000,,,,,Temp Field,na,,2,deg C,,,,N,,
00150729-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-12-01 00:00:00,150729,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Ammonia N,7664-41-7,<,0.1,mg/L,,,,Y,,
00150729-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-12-01 00:00:00,150729,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,"Ammonia, Unionized",na,,0.000383,mg/L,,,,N,AUTOCALCULATE 2016-06-16 14:48:20 Using 1/2 AMNN,
00150729-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-12-01 00:00:00,150729,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Chloride,16887-00-6,,0,mg/L,,,,N,,
00150729-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-12-01 00:00:00,150729,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,CO3 as CaCO3,3812-32-6,,0,mg/L,,,,N,,
00150729-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-12-01 00:00:00,150729,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,CO3 as CO3,3812-32-6,,0,mg/L,,,,N,,
00150729-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-12-01 00:00:00,150729,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,COD,na,,7.8,mg/L,,,,N,,
00150729-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-12-01 00:00:00,150729,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,HCO3 as CaCO3,71-52-3,,48,mg/L,,,,N,,
00150729-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-12-01 00:00:00,150729,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,HCO3 as HCO3,71-52-3,,59,mg/L,,,,N,,
00150729-0,Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],1987-12-01 00:00:00,150729,,Unknown,Laboratory Results,0.000,,Nevada State Health Lab,,,Kjeldahl N,7727-37-9,,0.18,mg/L,,,,N,,
