"MONITORINGLOCATIONID","StationName","Organization","WaterbodyID","WaterBodyName","WaterbodyType","BasinName","EcoregionLvl4","HUC","CatchmentArea","StationDescription","Latitude","Longitude","HorizontalCollectionMethod","Datum","Elevation","ElevationUnit","County","State","TribalLandName","AlternateCode","FieldOfficeName","FileNumber","FirstMonitoringDate","WQXStationID","COMMENTS",
SB10,Thomas Creek @ North Timberline Drive &[STBT03Thomas-3],Nevada Division of Environmental Protection,NV06-SC-55-A_00,Thomas Creek at the national forest boundary,River/Stream,Truckee River Basin,Northeastern Sierra Mixed Conifer-Pine Forests,160501020305,,STEAMBOAT CREEK LONG TERM MONITORING SITE.  THE THOMAS CREEK SAMPLE SITE IS LOCATED ON THE BOUNDARY OF THE TOIYABE NATIONAL FOREST.  SAMPLES WERE TAKEN ON A BIMONTHLY BASIS UNTIL JUNE 2002 AND QUARTERLY AFTER JUNE 2004 BY NDEP PERSONNEL.,39.3917809,-119.8380966,Unknown,NAD83,5995.00,ft,Washoe,NV,,,Carson City,NS532,10/21/1987 12:00:00 AM,NV06-102-T-038,,
SB20,North Fork Whites Creek @ West Zolezzi Lane,Nevada Division of Environmental Protection,NV06-SC-63-B_01,"Whites Creek, North Fork - Whites Creek at Steamboat Creek",River/Stream,Truckee River Basin,Sierra Nevada-Influenced Semiarid Hills and Basin,160501020305,,SHORT TERM SAMPLING SITE SAMPLED FROM 3-19-1999 THROUGH 4-4-2002 WHERE ZOLEZZI LANE CROSSES CREEK AND JUST BEFORE DITCH EMPTIES INTO CREEK.,39.4186897,-119.7659988,Unknown,NAD83,4600.00,ft,Washoe,NV,,,Carson City,NS540,12/4/1998 10:45:00 AM,NV06-102-T-033,,
SB3,Steamboat Creek @ Pleasant Valley &[STBT02Stbt-2],Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,River/Stream,Truckee River Basin,Sierra Nevada-Influenced Semiarid Hills and Basin,160501020304,,STEAMBOAT CREEK LONG TERM MONITORING SITE.  SITE IS NO LONGER ACTIVE.  THE PLEASANT VALLEY STATION IS LOCATED ON THE NORTH SIDE OF JUBILEE HILL ON HWY 395 NEXT TO THE FIRE STATION.  THE ACTUAL SAMPLE IS TAKEN NEXT TO THE BRIDGE WHERE A STEVENS RECORDER HA,39.3456612,-119.7779999,Unknown,NAD83,4794.00,ft,Washoe,NV,,,Carson City,NS551,10/21/1987 12:00:00 AM,NV06-102-T-014,,
SB33,Middle Fork Whites Creek @ Sage Hill Road,Nevada Division of Environmental Protection,NV06-SC-63-B_03,"Whites Creek, Middle Fork - Whites Creek at Steamboat Creek",River/Stream,Truckee River Basin,Sierra Nevada-Influenced Semiarid Hills and Basin,160501020306,,SHORT TERM SAMPLING SITE,39.4186401,-119.7415009,Unknown,NAD83,4482.00,ft,Washoe,NV,,,Carson City,NS555,3/21/2007 11:40:00 AM,NV06-102-T-035,,
SB40,Steamboat Creek @ Old Post Office &[STBT02Stbt-3],Nevada Division of Environmental Protection,NV06-SC-42-D_00,Steamboat Creek at the Truckee River,River/Stream,Truckee River Basin,Sierra Nevada-Influenced Semiarid Hills and Basin,160501020306,,SHORT TERM SAMPLING SITE PRIOR TO 1999 AND BIOASSESSMENT SITE SAMPLED 6/8/2004,39.3874207,-119.7393036,Unknown,NAD83,4574.00,ft,Washoe,NV,,,Carson City,NS563,2/14/1996 12:00:00 AM,NV06-102-T-016,From 1996 - 1997 is Special Study Data and site was labeled at PO,
SB42,North Fork Whites Creek @ Arrow Creek Parkway,Nevada Division of Environmental Protection,NV06-SC-54-B_00,Whites Creek at Steamboat Ditch,River/Stream,Truckee River Basin,Sierra Nevada-Influenced Semiarid Hills and Basin,160501020305,,SHORT TERM SAMPLING SITE,39.4041710,-119.7804031,Unknown,NAD83,4882.00,ft,Washoe,NV,,,Carson City,NS565,9/20/2004 12:20:00 PM,NV06-102-T-032,,
SB44,South Fork Whites Creek @ Old Virginia Road,Nevada Division of Environmental Protection,NV06-SC-63-B_02,"Whites Creek, South Fork - Whites Creek at Steamboat Creek",River/Stream,Truckee River Basin,Sierra Nevada-Influenced Semiarid Hills and Basin,160501020305,,SHORT TERM SAMPLING SITE,39.4083710,-119.7481995,Unknown,NAD83,4542.00,ft,Washoe,NV,,,Carson City,NS991,6/15/2011 11:30:00 AM,NV06-102-T-065,,
SB46,Steamboat Creek @ So. Meadows Pkwy,Nevada Division of Environmental Protection,NV06-SC-42-D_00,Steamboat Creek at the Truckee River,River/Stream,Truckee River Basin,Sierra Nevada-Influenced Semiarid Hills and Basin,160501020306,,,39.4504270,-119.7234210,GPS-Unspecified,NAD83,,,Washoe,NV,,,Carson City,,,,,
SB5,Steamboat Creek @ Rhodes Road,Nevada Division of Environmental Protection,NV06-SC-41-C_00,Steamboat Creek at the gaging station,River/Stream,Truckee River Basin,Sierra Nevada-Influenced Semiarid Hills and Basin,160501020304,,STEAMBOAT CREEK LONG TERM MONITORING SITE.  THE RHODES ROAD STATION IS LOCATED ON THE EAST SIDE OF HWY 395 NORTH.   SAMPLES WERE TAKEN ON A BIMONTHLY BASIS UNTIL JUNE 2002 AND QUARTERLY AFTER JUNE 2004 BY NDEP PERSONNEL.,39.3771706,-119.7437973,Unknown,NAD83,4675.00,ft,Washoe,NV,,,Carson City,NS567,10/21/1987 10:45:00 AM,NV06-102-T-015,,
SB6,Steamboat Ditch @ Rhodes Road,Nevada Division of Environmental Protection,NV06-SC-73_00,Steamboat Ditch,River/Stream,Truckee River Basin,Sierra Nevada-Influenced Semiarid Hills and Basin,160501020304,,STEAMBOAT CREEK LONG TERM MONITORING SITE.  SITE IS NO LONGER ACTIVE.  THE STEAMBOAT DITCH IS FED BY IRRIGATION WATERS THAT HAVE BEEN DIVERTED FROM THE TRUCKEE RIVER FOR AGRICULTURAL USE.  THE SAMPLE IS COLLECTED ABOUT 20 FEET DOWN STREAM OF THE RHODES RO,39.3774681,-119.7437973,Unknown,NAD83,4606.00,ft,Washoe,NV,,,Carson City,NS568,2/6/1974 12:00:00 AM,NV06-102-C-002,,
