"well_id","ndwr_site_id","latitude","longitude","mid_screen_depth","total_depth","basin_name"
1,"088 N17 E20 18BABA1",39.34624,-119.7831,105,135,"PLEASANT VALLEY"
2,"088 N17 E20 07ADCA1",39.35506,-119.77406,150,200,"PLEASANT VALLEY"
3,"088 N17 E19 09BABC1",39.35955,-119.85889,249,306,"PLEASANT VALLEY"
4,"088 N17 E19 17CAAA1",39.33813,-119.8736,NA,320,"PLEASANT VALLEY"
5,"088 N17 E19 02CACD1",39.364597,-119.819923,170,220,"PLEASANT VALLEY"
6,"088 N17 E19 14AAAA2",39.346027,-119.807974,620,788,"PLEASANT VALLEY"
7,"088 N17 E19 14ABBA2",39.345925,-119.815633,580,640,"PLEASANT VALLEY"
8,"088 N17 E19 14BBCB2",39.343791,-119.826154,430,600,"PLEASANT VALLEY"
9,"088 N17 E19 10DCAD2",39.348158,-119.831604,300,360,"PLEASANT VALLEY"
10,"088 N18 E19 35CACD2",39.38112,-119.820081,582.5,725,"PLEASANT VALLEY"
11,"088 N18 E19 35CBCC2",39.37888,-119.825034,727,1000,"PLEASANT VALLEY"
12,"088 N17 E19 02DABD1",39.366406,-119.810357,165,223,"PLEASANT VALLEY"
13,"088 N17 E19 03DBCD1",39.364953,-119.833582,640,755,"PLEASANT VALLEY"
14,"088 N18 E19 34CADD1",39.378909,-119.836044,315,450,"PLEASANT VALLEY"
15,"088 N17 E20 07CCAB1",39.34936,-119.786778,126,151,"PLEASANT VALLEY"
16,"087 N19 E19 15AABC2",39.5189,-119.82987,330,430,"TRUCKEE MEADOWS"
17,"087 N19 E19 15AABC3",39.518898,-119.82989,205,230,"TRUCKEE MEADOWS"
18,"087 N19 E20 06DCDB2",39.536026,-119.77773,360,530,"TRUCKEE MEADOWS"
19,"087 N19 E20 06DCDB3",39.536044,-119.777745,166,190,"TRUCKEE MEADOWS"
20,"087 N18 E20 06BAAA2",39.461878,-119.7808,190,290,"TRUCKEE MEADOWS"
21,"087 N18 E19 22DAAD2",39.409606,-119.827413,674,1325,"TRUCKEE MEADOWS"
22,"087 N18 E20 17ABBA1",39.432544,-119.75973,390,500,"TRUCKEE MEADOWS"
23,"087 N18 E20 06AACC1",39.458283,-119.774102,205,310,"TRUCKEE MEADOWS"
24,"087 N18 E20 06AACC2",39.458329,-119.774076,205,300,"TRUCKEE MEADOWS"
25,"087 N18 E20 06BAAA1",39.461812,-119.780849,191,504,"TRUCKEE MEADOWS"
26,"087 N18 E20 06CAAD1",39.454094,-119.780729,218,313,"TRUCKEE MEADOWS"
27,"087 N18 E20 07ACBA1",39.443586,-119.779433,255,336,"TRUCKEE MEADOWS"
28,"087 N18 E20 07ACBA2",39.443508,-119.779378,250,325,"TRUCKEE MEADOWS"
29,"087 N19 E19 12AAAA1",39.534095,-119.790128,328,490,"TRUCKEE MEADOWS"
30,"087 N19 E19 12AAAA2",39.533972,-119.790084,405,500,"TRUCKEE MEADOWS"
31,"087 N19 E19 12AAAA3",39.533953,-119.790096,240,310,"TRUCKEE MEADOWS"
32,"087 N19 E19 15AABC1",39.518871,-119.830014,305,456,"TRUCKEE MEADOWS"
33,"087 N19 E19 15ABCB1",39.517257,-119.835432,310.5,470,"TRUCKEE MEADOWS"
